Station_MAC,First_time_seen,Last_time_seen,Power,packets,BSSID,Probed_ESSIDs,OUI
56:15:EB:44:CE:68,1690537922,1690537922,-63,1,(not associated),Not Probing,56:15:EB
70:1A:B8:DF:26:2C,1690537922,1690537922,-69,1,(not associated),Not Probing,70:1A:B8
46:42:7E:DE:D5:C5,1690537924,1690537924,-55,1,(not associated),region,46:42:7E
62:C5:31:27:0B:63,1690537924,1690537924,-53,1,(not associated),region,62:C5:31
0E:2A:2E:E4:5D:B2,1690537925,1690537925,-57,2,(not associated),Not Probing,0E:2A:2E
52:25:BE:A9:65:2D,1690537929,1690537929,-35,2,(not associated),Not Probing,52:25:BE
FA:D1:59:B9:F4:47,1690537929,1690537929,-61,2,(not associated),Not Probing,FA:D1:59
8E:F7:E0:63:BF:46,1690537930,1690537930,-49,1,(not associated),Not Probing,8E:F7:E0
D6:E3:24:84:DD:F4,1690537930,1690537931,-39,5,(not associated),Not Probing,D6:E3:24
9E:26:D6:08:6E:89,1690537930,1690537931,-51,6,(not associated),Not Probing,9E:26:D6
2E:B4:37:B9:7F:4D,1690537931,1690537931,-53,1,(not associated),Not Probing,2E:B4:37
82:BF:EB:9B:84:41,1690537931,1690537931,-51,1,(not associated),Not Probing,82:BF:EB
4A:2D:40:6A:A8:F5,1690537932,1690537932,-79,1,(not associated),Not Probing,4A:2D:40
DE:9C:8F:93:5D:0C,1690537933,1690537933,-63,1,(not associated),Not Probing,DE:9C:8F
62:1B:1A:5A:81:26,1690537936,1690537936,-63,1,(not associated),Avenue611,62:1B:1A
8A:C7:B5:08:9E:EB,1690537936,1690537936,-51,1,(not associated),Not Probing,8A:C7:B5
AA:EC:17:62:27:D6,1690537936,1690537936,-61,1,(not associated),iPhone (Максим),AA:EC:17
76:DC:04:F2:94:8E,1690537936,1690537936,-63,1,(not associated),Not Probing,76:DC:04
7A:6B:0B:DE:4A:AE,1690537936,1690537936,-61,1,(not associated),Avenue611,7A:6B:0B
72:73:7E:5F:4A:C2,1690537936,1690537936,-61,2,(not associated),HONOR 30,72:73:7E
E6:D1:80:B5:4D:B8,1690537936,1690537936,-61,1,(not associated),iPhone (Максим),E6:D1:80
72:28:F9:FE:A8:77,1690537936,1690537936,-61,1,(not associated),iPhone (Дима ),72:28:F9
